Webpage,Run,ID,Type,RangeMin,RangeMax,RealName,ImageName
3-MinuteJournal-index-html,1,1,Element-Protrusion,352,369,Failure-352,1-352-F
3-MinuteJournal-index-html,1,1,Element-Protrusion,352,369,Failure-369,1-369-F
3-MinuteJournal-index-html,1,1,Element-Protrusion,352,369,Transform-Wider-352,1-352-W
3-MinuteJournal-index-html,1,1,Element-Protrusion,352,369,Transform-Wider-369,1-369-W
3-MinuteJournal-index-html,1,2,Element-Protrusion,393,410,Failure-393,2-393-F
3-MinuteJournal-index-html,1,2,Element-Protrusion,393,410,Failure-410,2-410-F
3-MinuteJournal-index-html,1,2,Element-Protrusion,393,410,Transform-Wider-393,2-393-W
3-MinuteJournal-index-html,1,2,Element-Protrusion,393,410,Transform-Wider-410,2-410-W
3-MinuteJournal-index-html,1,3,Element-Protrusion,438,453,Failure-438,3-438-F
3-MinuteJournal-index-html,1,3,Element-Protrusion,438,453,Failure-453,3-453-F
3-MinuteJournal-index-html,1,3,Element-Protrusion,438,453,Transform-Wider-438,3-438-W
3-MinuteJournal-index-html,1,3,Element-Protrusion,438,453,Transform-Wider-453,3-453-W
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Failure-992,4-992-F
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Failure-1199,4-1199-F
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Transform-Wider-992,4-992-W
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Transform-Wider-1199,4-1199-W
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Transform-Narrower-992,4-992-N
3-MinuteJournal-index-html,1,4,Element-Protrusion,992,1199,Transform-Narrower-1199,4-1199-N
3-MinuteJournal-index-html,1,5,Element-Protrusion,478,497,Failure-478,5-478-F
3-MinuteJournal-index-html,1,5,Element-Protrusion,478,497,Failure-497,5-497-F
3-MinuteJournal-index-html,1,5,Element-Protrusion,478,497,Transform-Wider-478,5-478-W
3-MinuteJournal-index-html,1,5,Element-Protrusion,478,497,Transform-Wider-497,5-497-W
3-MinuteJournal-index-html,1,6,Element-Protrusion,320,324,Failure-320,6-320-F
3-MinuteJournal-index-html,1,6,Element-Protrusion,320,324,Failure-324,6-324-F
3-MinuteJournal-index-html,1,6,Element-Protrusion,320,324,Transform-Wider-320,6-320-W
3-MinuteJournal-index-html,1,6,Element-Protrusion,320,324,Transform-Wider-324,6-324-W
3-MinuteJournal-index-html,1,7,Element-Protrusion,524,539,Failure-524,7-524-F
3-MinuteJournal-index-html,1,7,Element-Protrusion,524,539,Failure-539,7-539-F
3-MinuteJournal-index-html,1,7,Element-Protrusion,524,539,Transform-Wider-524,7-524-W
3-MinuteJournal-index-html,1,7,Element-Protrusion,524,539,Transform-Wider-539,7-539-W
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Failure-992,8-992-F
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Failure-1199,8-1199-F
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Transform-Wider-992,8-992-W
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Transform-Wider-1199,8-1199-W
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Transform-Narrower-992,8-992-N
3-MinuteJournal-index-html,1,8,Element-Protrusion,992,1199,Transform-Narrower-1199,8-1199-N
3-MinuteJournal-index-html,1,9,Element-Protrusion,347,583,Failure-347,9-347-F
3-MinuteJournal-index-html,1,9,Element-Protrusion,347,583,Failure-583,9-583-F
3-MinuteJournal-index-html,1,9,Element-Protrusion,347,583,Transform-Wider-347,9-347-W
3-MinuteJournal-index-html,1,9,Element-Protrusion,347,583,Transform-Wider-583,9-583-W
3-MinuteJournal-index-html,1,10,Element-Protrusion,568,579,Failure-568,10-568-F
3-MinuteJournal-index-html,1,10,Element-Protrusion,568,579,Failure-579,10-579-F
3-MinuteJournal-index-html,1,10,Element-Protrusion,568,579,Transform-Wider-568,10-568-W
3-MinuteJournal-index-html,1,10,Element-Protrusion,568,579,Transform-Wider-579,10-579-W
3-MinuteJournal-index-html,1,11,Viewport-Protrusion,320,568,Failure-320,11-320-F
3-MinuteJournal-index-html,1,11,Viewport-Protrusion,320,568,Failure-568,11-568-F
3-MinuteJournal-index-html,1,11,Viewport-Protrusion,320,568,Transform-Wider-320,11-320-W
3-MinuteJournal-index-html,1,11,Viewport-Protrusion,320,568,Transform-Wider-568,11-568-W
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Failure-992,12-992-F
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Failure-1137,12-1137-F
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Transform-Wider-992,12-992-W
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Transform-Wider-1137,12-1137-W
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Transform-Narrower-992,12-992-N
3-MinuteJournal-index-html,1,12,Viewport-Protrusion,992,1137,Transform-Narrower-1137,12-1137-N
3-MinuteJournal-index-html,1,13,Element-Protrusion,1138,1199,Failure-1138,13-1138-F
3-MinuteJournal-index-html,1,13,Element-Protrusion,1138,1199,Failure-1199,13-1199-F
3-MinuteJournal-index-html,1,13,Element-Protrusion,1138,1199,Transform-Wider-1138,13-1138-W
3-MinuteJournal-index-html,1,13,Element-Protrusion,1138,1199,Transform-Wider-1199,13-1199-W
