Webpage,Run,ID,Type,RangeMin,RangeMax,RealName,ImageName
Bower-index-html,1,1,Viewport-Protrusion,681,697,Failure-681,1-681-F
Bower-index-html,1,1,Viewport-Protrusion,681,697,Failure-697,1-697-F
Bower-index-html,1,1,Viewport-Protrusion,681,697,Transform-Wider-681,1-681-W
Bower-index-html,1,1,Viewport-Protrusion,681,697,Transform-Wider-697,1-697-W
Bower-index-html,1,1,Viewport-Protrusion,681,697,Transform-Narrower-681,1-681-N
Bower-index-html,1,1,Viewport-Protrusion,681,697,Transform-Narrower-697,1-697-N
Bower-index-html,1,2,Element-Protrusion,698,707,Failure-698,2-698-F
Bower-index-html,1,2,Element-Protrusion,698,707,Failure-707,2-707-F
Bower-index-html,1,2,Element-Protrusion,698,707,Transform-Wider-698,2-698-W
Bower-index-html,1,2,Element-Protrusion,698,707,Transform-Wider-707,2-707-W
Bower-index-html,1,3,Element-Collision,320,680,Failure-320,3-320-F
Bower-index-html,1,3,Element-Collision,320,680,Failure-680,3-680-F
Bower-index-html,1,3,Element-Collision,320,680,Transform-Wider-320,3-320-W
Bower-index-html,1,3,Element-Collision,320,680,Transform-Wider-680,3-680-W
