Webpage,Run,ID,Type,RangeMin,RangeMax,RealName,ImageName
ConsumerReports-index-html,1,1,Viewport-Protrusion,320,372,Failure-320,1-320-F
ConsumerReports-index-html,1,1,Viewport-Protrusion,320,372,Failure-372,1-372-F
ConsumerReports-index-html,1,1,Viewport-Protrusion,320,372,Transform-Wider-320,1-320-W
ConsumerReports-index-html,1,1,Viewport-Protrusion,320,372,Transform-Wider-372,1-372-W
ConsumerReports-index-html,1,2,Viewport-Protrusion,320,373,Failure-320,2-320-F
ConsumerReports-index-html,1,2,Viewport-Protrusion,320,373,Failure-373,2-373-F
ConsumerReports-index-html,1,2,Viewport-Protrusion,320,373,Transform-Wider-320,2-320-W
ConsumerReports-index-html,1,2,Viewport-Protrusion,320,373,Transform-Wider-373,2-373-W
ConsumerReports-index-html,1,3,Viewport-Protrusion,320,360,Failure-320,3-320-F
ConsumerReports-index-html,1,3,Viewport-Protrusion,320,360,Failure-360,3-360-F
ConsumerReports-index-html,1,3,Viewport-Protrusion,320,360,Transform-Wider-320,3-320-W
ConsumerReports-index-html,1,3,Viewport-Protrusion,320,360,Transform-Wider-360,3-360-W
ConsumerReports-index-html,1,4,Element-Protrusion,361,767,Failure-361,4-361-F
ConsumerReports-index-html,1,4,Element-Protrusion,361,767,Failure-767,4-767-F
ConsumerReports-index-html,1,4,Element-Protrusion,361,767,Transform-Wider-361,4-361-W
ConsumerReports-index-html,1,4,Element-Protrusion,361,767,Transform-Wider-767,4-767-W
ConsumerReports-index-html,1,5,Viewport-Protrusion,320,373,Failure-320,5-320-F
ConsumerReports-index-html,1,5,Viewport-Protrusion,320,373,Failure-373,5-373-F
ConsumerReports-index-html,1,5,Viewport-Protrusion,320,373,Transform-Wider-320,5-320-W
ConsumerReports-index-html,1,5,Viewport-Protrusion,320,373,Transform-Wider-373,5-373-W
ConsumerReports-index-html,1,6,Viewport-Protrusion,320,372,Failure-320,6-320-F
ConsumerReports-index-html,1,6,Viewport-Protrusion,320,372,Failure-372,6-372-F
ConsumerReports-index-html,1,6,Viewport-Protrusion,320,372,Transform-Wider-320,6-320-W
ConsumerReports-index-html,1,6,Viewport-Protrusion,320,372,Transform-Wider-372,6-372-W
ConsumerReports-index-html,1,7,Element-Collision,320,767,Failure-320,7-320-F
ConsumerReports-index-html,1,7,Element-Collision,320,767,Failure-767,7-767-F
ConsumerReports-index-html,1,7,Element-Collision,320,767,Transform-Wider-320,7-320-W
ConsumerReports-index-html,1,7,Element-Collision,320,767,Transform-Wider-767,7-767-W
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Failure-1025,8-1025-F
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Failure-1101,8-1101-F
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Transform-Wider-1025,8-1025-W
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Transform-Wider-1101,8-1101-W
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Transform-Narrower-1025,8-1025-N
ConsumerReports-index-html,1,8,Viewport-Protrusion,1025,1101,Transform-Narrower-1101,8-1101-N
ConsumerReports-index-html,1,9,Viewport-Protrusion,320,372,Failure-320,9-320-F
ConsumerReports-index-html,1,9,Viewport-Protrusion,320,372,Failure-372,9-372-F
ConsumerReports-index-html,1,9,Viewport-Protrusion,320,372,Transform-Wider-320,9-320-W
ConsumerReports-index-html,1,9,Viewport-Protrusion,320,372,Transform-Wider-372,9-372-W
ConsumerReports-index-html,1,10,Viewport-Protrusion,320,373,Failure-320,10-320-F
ConsumerReports-index-html,1,10,Viewport-Protrusion,320,373,Failure-373,10-373-F
ConsumerReports-index-html,1,10,Viewport-Protrusion,320,373,Transform-Wider-320,10-320-W
ConsumerReports-index-html,1,10,Viewport-Protrusion,320,373,Transform-Wider-373,10-373-W
ConsumerReports-index-html,1,11,Element-Collision,320,767,Failure-320,11-320-F
ConsumerReports-index-html,1,11,Element-Collision,320,767,Failure-767,11-767-F
ConsumerReports-index-html,1,11,Element-Collision,320,767,Transform-Wider-320,11-320-W
ConsumerReports-index-html,1,11,Element-Collision,320,767,Transform-Wider-767,11-767-W
ConsumerReports-index-html,1,12,Element-Collision,320,767,Failure-320,12-320-F
ConsumerReports-index-html,1,12,Element-Collision,320,767,Failure-767,12-767-F
ConsumerReports-index-html,1,12,Element-Collision,320,767,Transform-Wider-320,12-320-W
ConsumerReports-index-html,1,12,Element-Collision,320,767,Transform-Wider-767,12-767-W
ConsumerReports-index-html,1,13,Element-Collision,320,767,Failure-320,13-320-F
ConsumerReports-index-html,1,13,Element-Collision,320,767,Failure-767,13-767-F
ConsumerReports-index-html,1,13,Element-Collision,320,767,Transform-Wider-320,13-320-W
ConsumerReports-index-html,1,13,Element-Collision,320,767,Transform-Wider-767,13-767-W
ConsumerReports-index-html,1,14,Element-Collision,320,767,Failure-320,14-320-F
ConsumerReports-index-html,1,14,Element-Collision,320,767,Failure-767,14-767-F
ConsumerReports-index-html,1,14,Element-Collision,320,767,Transform-Wider-320,14-320-W
ConsumerReports-index-html,1,14,Element-Collision,320,767,Transform-Wider-767,14-767-W
ConsumerReports-index-html,1,15,Element-Collision,320,767,Failure-320,15-320-F
ConsumerReports-index-html,1,15,Element-Collision,320,767,Failure-767,15-767-F
ConsumerReports-index-html,1,15,Element-Collision,320,767,Transform-Wider-320,15-320-W
ConsumerReports-index-html,1,15,Element-Collision,320,767,Transform-Wider-767,15-767-W
ConsumerReports-index-html,1,16,Element-Collision,320,767,Failure-320,16-320-F
ConsumerReports-index-html,1,16,Element-Collision,320,767,Failure-767,16-767-F
ConsumerReports-index-html,1,16,Element-Collision,320,767,Transform-Wider-320,16-320-W
ConsumerReports-index-html,1,16,Element-Collision,320,767,Transform-Wider-767,16-767-W
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Failure-768,17-768-F
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Failure-769,17-769-F
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Transform-Wider-768,17-768-W
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Transform-Wider-769,17-769-W
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Transform-Narrower-768,17-768-N
ConsumerReports-index-html,1,17,Viewport-Protrusion,768,769,Transform-Narrower-769,17-769-N
ConsumerReports-index-html,1,18,Element-Protrusion,770,1180,Failure-770,18-770-F
ConsumerReports-index-html,1,18,Element-Protrusion,770,1180,Failure-1180,18-1180-F
ConsumerReports-index-html,1,18,Element-Protrusion,770,1180,Transform-Wider-770,18-770-W
ConsumerReports-index-html,1,18,Element-Protrusion,770,1180,Transform-Wider-1180,18-1180-W
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Failure-768,19-768-F
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Failure-769,19-769-F
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Transform-Wider-768,19-768-W
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Transform-Wider-769,19-769-W
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Transform-Narrower-768,19-768-N
ConsumerReports-index-html,1,19,Viewport-Protrusion,768,769,Transform-Narrower-769,19-769-N
ConsumerReports-index-html,1,20,Element-Protrusion,770,1180,Failure-770,20-770-F
ConsumerReports-index-html,1,20,Element-Protrusion,770,1180,Failure-1180,20-1180-F
ConsumerReports-index-html,1,20,Element-Protrusion,770,1180,Transform-Wider-770,20-770-W
ConsumerReports-index-html,1,20,Element-Protrusion,770,1180,Transform-Wider-1180,20-1180-W
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Failure-768,21-768-F
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Failure-1028,21-1028-F
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Transform-Wider-768,21-768-W
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Transform-Wider-1028,21-1028-W
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Transform-Narrower-768,21-768-N
ConsumerReports-index-html,1,21,Element-Protrusion,768,1028,Transform-Narrower-1028,21-1028-N
ConsumerReports-index-html,1,22,Viewport-Protrusion,768,1038,Failure-768,22-768-F
