Webpage,Run,ID,Type,RangeMin,RangeMax,RealName,ImageName
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Failure-478,1-478-F
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Failure-767,1-767-F
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Transform-Wider-478,1-478-W
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Transform-Wider-767,1-767-W
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Transform-Narrower-478,1-478-N
OrchardCore-index-html,1,1,Element-Protrusion,478,767,Transform-Narrower-767,1-767-N
OrchardCore-index-html,1,2,Element-Protrusion,992,1199,Failure-992,2-992-F
OrchardCore-index-html,1,2,Element-Protrusion,992,1199,Failure-1199,2-1199-F
OrchardCore-index-html,1,2,Element-Protrusion,992,1199,Transform-Wider-992,2-992-W
OrchardCore-index-html,1,2,Element-Protrusion,992,1199,Transform-Wider-1199,2-1199-W
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Failure-339,3-339-F
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Failure-991,3-991-F
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Transform-Wider-339,3-339-W
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Transform-Wider-991,3-991-W
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Transform-Narrower-339,3-339-N
OrchardCore-index-html,1,3,Element-Protrusion,339,991,Transform-Narrower-991,3-991-N
OrchardCore-index-html,1,4,Element-Collision,320,767,Failure-320,4-320-F
OrchardCore-index-html,1,4,Element-Collision,320,767,Failure-767,4-767-F
OrchardCore-index-html,1,4,Element-Collision,320,767,Transform-Wider-320,4-320-W
OrchardCore-index-html,1,4,Element-Collision,320,767,Transform-Wider-767,4-767-W
OrchardCore-index-html,1,5,Element-Protrusion,768,1199,Failure-768,5-768-F
OrchardCore-index-html,1,5,Element-Protrusion,768,1199,Failure-1199,5-1199-F
OrchardCore-index-html,1,5,Element-Protrusion,768,1199,Transform-Wider-768,5-768-W
OrchardCore-index-html,1,5,Element-Protrusion,768,1199,Transform-Wider-1199,5-1199-W
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Failure-406,6-406-F
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Failure-767,6-767-F
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Transform-Wider-406,6-406-W
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Transform-Wider-767,6-767-W
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Transform-Narrower-406,6-406-N
OrchardCore-index-html,1,6,Element-Protrusion,406,767,Transform-Narrower-767,6-767-N
OrchardCore-index-html,1,7,Element-Collision,320,767,Failure-320,7-320-F
OrchardCore-index-html,1,7,Element-Collision,320,767,Failure-767,7-767-F
OrchardCore-index-html,1,7,Element-Collision,320,767,Transform-Wider-320,7-320-W
OrchardCore-index-html,1,7,Element-Collision,320,767,Transform-Wider-767,7-767-W
OrchardCore-index-html,1,8,Element-Protrusion,768,1199,Failure-768,8-768-F
OrchardCore-index-html,1,8,Element-Protrusion,768,1199,Failure-1199,8-1199-F
OrchardCore-index-html,1,8,Element-Protrusion,768,1199,Transform-Wider-768,8-768-W
OrchardCore-index-html,1,8,Element-Protrusion,768,1199,Transform-Wider-1199,8-1199-W
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Failure-447,9-447-F
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Failure-767,9-767-F
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Transform-Wider-447,9-447-W
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Transform-Wider-767,9-767-W
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Transform-Narrower-447,9-447-N
OrchardCore-index-html,1,9,Element-Protrusion,447,767,Transform-Narrower-767,9-767-N
OrchardCore-index-html,1,10,Element-Collision,320,767,Failure-320,10-320-F
OrchardCore-index-html,1,10,Element-Collision,320,767,Failure-767,10-767-F
OrchardCore-index-html,1,10,Element-Collision,320,767,Transform-Wider-320,10-320-W
OrchardCore-index-html,1,10,Element-Collision,320,767,Transform-Wider-767,10-767-W
OrchardCore-index-html,1,11,Element-Protrusion,768,1199,Failure-768,11-768-F
OrchardCore-index-html,1,11,Element-Protrusion,768,1199,Failure-1199,11-1199-F
OrchardCore-index-html,1,11,Element-Protrusion,768,1199,Transform-Wider-768,11-768-W
OrchardCore-index-html,1,11,Element-Protrusion,768,1199,Transform-Wider-1199,11-1199-W
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Failure-513,12-513-F
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Failure-767,12-767-F
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Transform-Wider-513,12-513-W
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Transform-Wider-767,12-767-W
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Transform-Narrower-513,12-513-N
OrchardCore-index-html,1,12,Element-Protrusion,513,767,Transform-Narrower-767,12-767-N
OrchardCore-index-html,1,13,Element-Collision,320,767,Failure-320,13-320-F
OrchardCore-index-html,1,13,Element-Collision,320,767,Failure-767,13-767-F
OrchardCore-index-html,1,13,Element-Collision,320,767,Transform-Wider-320,13-320-W
OrchardCore-index-html,1,13,Element-Collision,320,767,Transform-Wider-767,13-767-W
OrchardCore-index-html,1,14,Element-Collision,320,767,Failure-320,14-320-F
OrchardCore-index-html,1,14,Element-Collision,320,767,Failure-767,14-767-F
OrchardCore-index-html,1,14,Element-Collision,320,767,Transform-Wider-320,14-320-W
OrchardCore-index-html,1,14,Element-Collision,320,767,Transform-Wider-767,14-767-W
OrchardCore-index-html,1,15,Element-Protrusion,768,1199,Failure-768,15-768-F
OrchardCore-index-html,1,15,Element-Protrusion,768,1199,Failure-1199,15-1199-F
OrchardCore-index-html,1,15,Element-Protrusion,768,1199,Transform-Wider-768,15-768-W
OrchardCore-index-html,1,15,Element-Protrusion,768,1199,Transform-Wider-1199,15-1199-W
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Failure-458,16-458-F
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Failure-767,16-767-F
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Transform-Wider-458,16-458-W
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Transform-Wider-767,16-767-W
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Transform-Narrower-458,16-458-N
OrchardCore-index-html,1,16,Element-Protrusion,458,767,Transform-Narrower-767,16-767-N
OrchardCore-index-html,1,17,Element-Protrusion,768,1199,Failure-768,17-768-F
OrchardCore-index-html,1,17,Element-Protrusion,768,1199,Failure-1199,17-1199-F
OrchardCore-index-html,1,17,Element-Protrusion,768,1199,Transform-Wider-768,17-768-W
OrchardCore-index-html,1,17,Element-Protrusion,768,1199,Transform-Wider-1199,17-1199-W
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Failure-446,18-446-F
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Failure-767,18-767-F
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Transform-Wider-446,18-446-W
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Transform-Wider-767,18-767-W
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Transform-Narrower-446,18-446-N
OrchardCore-index-html,1,18,Element-Protrusion,446,767,Transform-Narrower-767,18-767-N
