Webpage,Run,ID,Type,RangeMin,RangeMax,RealName,ImageName
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Failure-992,1-992-F
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Failure-1199,1-1199-F
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Transform-Wider-992,1-992-W
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Transform-Wider-1199,1-1199-W
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Transform-Narrower-992,1-992-N
WillMyPhoneWork-index-html,1,1,Element-Protrusion,992,1199,Transform-Narrower-1199,1-1199-N
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Failure-992,2-992-F
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Failure-1199,2-1199-F
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Transform-Wider-992,2-992-W
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Transform-Wider-1199,2-1199-W
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Transform-Narrower-992,2-992-N
WillMyPhoneWork-index-html,1,2,Element-Protrusion,992,1199,Transform-Narrower-1199,2-1199-N
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Failure-990,3-990-F
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Failure-991,3-991-F
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Transform-Wider-990,3-990-W
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Transform-Wider-991,3-991-W
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Transform-Narrower-990,3-990-N
WillMyPhoneWork-index-html,1,3,Element-Collision,990,991,Transform-Narrower-991,3-991-N
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Failure-990,4-990-F
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Failure-991,4-991-F
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Transform-Wider-990,4-990-W
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Transform-Wider-991,4-991-W
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Transform-Narrower-990,4-990-N
WillMyPhoneWork-index-html,1,4,Small-Range,990,991,Transform-Narrower-991,4-991-N
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Failure-992,5-992-F
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Failure-1006,5-1006-F
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Transform-Wider-992,5-992-W
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Transform-Wider-1006,5-1006-W
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Transform-Narrower-992,5-992-N
WillMyPhoneWork-index-html,1,5,Viewport-Protrusion,992,1006,Transform-Narrower-1006,5-1006-N
WillMyPhoneWork-index-html,1,6,Element-Protrusion,1007,1199,Failure-1007,6-1007-F
WillMyPhoneWork-index-html,1,6,Element-Protrusion,1007,1199,Failure-1199,6-1199-F
WillMyPhoneWork-index-html,1,6,Element-Protrusion,1007,1199,Transform-Wider-1007,6-1007-W
WillMyPhoneWork-index-html,1,6,Element-Protrusion,1007,1199,Transform-Wider-1199,6-1199-W
WillMyPhoneWork-index-html,1,7,Viewport-Protrusion,320,354,Failure-320,7-320-F
WillMyPhoneWork-index-html,1,7,Viewport-Protrusion,320,354,Failure-354,7-354-F
WillMyPhoneWork-index-html,1,7,Viewport-Protrusion,320,354,Transform-Wider-320,7-320-W
WillMyPhoneWork-index-html,1,7,Viewport-Protrusion,320,354,Transform-Wider-354,7-354-W
WillMyPhoneWork-index-html,1,8,Element-Protrusion,376,390,Failure-376,8-376-F
WillMyPhoneWork-index-html,1,8,Element-Protrusion,376,390,Failure-390,8-390-F
WillMyPhoneWork-index-html,1,8,Element-Protrusion,376,390,Transform-Wider-376,8-376-W
WillMyPhoneWork-index-html,1,8,Element-Protrusion,376,390,Transform-Wider-390,8-390-W
WillMyPhoneWork-index-html,1,9,Element-Protrusion,361,375,Failure-361,9-361-F
WillMyPhoneWork-index-html,1,9,Element-Protrusion,361,375,Failure-375,9-375-F
WillMyPhoneWork-index-html,1,9,Element-Protrusion,361,375,Transform-Wider-361,9-361-W
WillMyPhoneWork-index-html,1,9,Element-Protrusion,361,375,Transform-Wider-375,9-375-W
WillMyPhoneWork-index-html,1,10,Element-Protrusion,355,360,Failure-355,10-355-F
WillMyPhoneWork-index-html,1,10,Element-Protrusion,355,360,Failure-360,10-360-F
WillMyPhoneWork-index-html,1,10,Element-Protrusion,355,360,Transform-Wider-355,10-355-W
WillMyPhoneWork-index-html,1,10,Element-Protrusion,355,360,Transform-Wider-360,10-360-W
